"School","Teams7","Teams8","SharedCoach","Pref7","Able7","Pref8","Able8","SpecialDates","TravelRestriction","EarliestStart","LatestStart","OtherConstraints"
"Reedsburg","1","1","N/A - Only one team per grade level","Tuesday, Wednesday","Monday, Tuesday, Wednesday, Thursday","Tuesday, Wednesday","Monday, Tuesday, Wednesday, Thursday","","","5:00:00 PM","7:00:00 PM",""
"Mt Horeb","2","2","No","Monday, Tuesday, Thursday","Monday, Tuesday, Thursday","Monday, Tuesday, Thursday","Monday, Tuesday, Thursday","","No field lights","5:00:00 PM","5:30:00 PM","Single games starting at 5:30p"
"Stoughton","1","1","N/A - Only one team per grade level","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","","","5:30:00 PM","7:30:00 PM",""
"Waunakee","2","2","Yes","Monday, Tuesday","Monday, Tuesday","Monday, Tuesday","Monday, Tuesday","","Stack teams together for away games. ","5:00:00 PM","7:30:00 PM",""
"Middleton","1","2","Yes","Monday, Tuesday","Monday, Tuesday, Wednesday","Monday, Tuesday","Monday, Tuesday, Wednesday","We have lights at our football stadium and are open to hosting games later in the season.","","7:00:00 PM","7:00:00 PM","Home games start time of 7pm.  Away games earliest start is 6pm"
"Beaver Dam","1","2","Yes","Tuesday","Monday, Tuesday","Tuesday","Monday, Tuesday","","Yes, school program with busing. ","4:30:00 PM","7:30:00 PM","8th grade teams (2) will need to be in same location and one after another with start times."
"Sun Pr West","1","2","No","Wednesday","Monday, Tuesday, Wednesday","Monday","Monday, Tuesday, Wednesday","Week 3 (9/14-9/16) Should be SP West teams hosting SP East teams. Those games will be played at Bank of Sun Prairie Stadium and can host 2 games each night. ","","5:30:00 PM","7:30:00 PM","Yes, due to the shortage of officials, SP West and SP East teams cannot host games at the same time on a given day. When West is home, East must be away and vice versa. Feel free to reach out for any clarification."
"Lodi","1","1","N/A - Only one team per grade level","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","Monday, Tuesday, Wednesday","","","6:30:00 PM","8:00:00 PM","Not sure the date for the fall tailgate. It's usually a Wednesday night after school starts. It is usually fairly quick. Could probably host a single game that night starting around 7:30pm"
"Verona","2","1","No","Monday, Tuesday","Monday, Tuesday, Wednesday","Monday, Tuesday","Monday, Tuesday","Saturday, August 22 Verona Jamboree @Verona High School turf field.  We would like to host for each of our teams grades 5-8.  I'll provide the full day schedule for reference even though you only need grades 7 & 8.
Grade 4 (scrimmage)  9:00-10:30
Grade 5  10:30-12:00
Grade 5  12:00-1:30
Grade 6  2:00-3:30
Grade 7  3:30-5:00
Grade 7  5:00-6:30
Grade 8  7:00-8:30
","Our families do not want to travel to places that are more than 45m away for a 5pm weeknight game after school has started.","5:00:00 PM","7:30:00 PM","We strongly prefer our 7th grade teams have as many opportunities as possible to play back to back games at the same location in case we ever need to share players. 

Over the last 2 years, we have noticed that Verona teams have had a higher percentage of away games vs home games.  We would appreciate an effort to try and give the overall balance in favor of home games this upcoming year so we can maximize our concessions and less travel for our families."
"Portage","1","1","No","Tuesday","Monday, Tuesday, Wednesday, Thursday","Tuesday","Monday, Tuesday, Wednesday, Thursday","","If we could play at the same location on away games.  We have lights for home games.  If needed.  A later start single games would be okay.","5:00:00 PM","6:30:00 PM","Single home games could start later.  Double games the school would like 5pm and 6:30 pm starts."
"Monona Grove","1","1","N/A - Only one team per grade level","Tuesday","Monday, Tuesday","Tuesday","Monday, Tuesday","Home games have both 7th and 8th play same night for Referee purposes.  Tuesday are the preferred night.  ","","5:15:00 PM","8:00:00 PM","none
Any home games can start whatever will also fit the away team drive/arrival.  does not have to fit the typical 530 and 7pm. "
"Milton","1","1","No","Tuesday","Monday, Tuesday, Wednesday, Thursday","Tuesday","Monday, Tuesday, Wednesday, Thursday","","","5:00:00 PM","10:00:00 PM",""
"Sun Pr East","2","1","Yes","Tuesday, Wednesday","Monday, Tuesday, Wednesday","Tuesday, Wednesday","Monday, Tuesday, Wednesday","We need to have  our home schedule  align with west sp so that we don't host home games the same week they do.","","5:00:00 PM","7:00:00 PM",""
"Oregon","1","1","N/A - Only one team per grade level","Monday, Tuesday","Monday, Tuesday","Monday, Tuesday","Monday, Tuesday","","Our field doesn?t have lights, ","4:30:00 PM","5:00:00 PM",""
"Sauk Prairie","1","1","N/A - Only one team per grade level","Tuesday, Thursday","Monday, Tuesday, Thursday","Tuesday, Thursday","Monday, Tuesday, Thursday","","","5:00:00 PM","7:30:00 PM","We must have 2 games per night when hosting, our officials won't do just 1 game"
