Program,Max Games,Date
Verona,4,8/23/2025
Verona,4,8/23/2025
Verona,4,8/23/2025
Verona,4,8/23/2025
Sun P East ,2,8/25/2025
Sun P East ,2,8/25/2025
Oregon,1,8/25/2025
Middleton,1,8/25/2025
Milton,2,8/25/2025
Milton,2,8/25/2025
Reedsburg,2,8/25/2025
Reedsburg,2,8/25/2025
Monona Grove,2,8/25/2025
Monona Grove,2,8/25/2025
Sun P West,1,8/25/2025
Portage,2,8/25/2025
Portage,2,8/25/2025
Waunakee,2,8/25/2025
Waunakee,2,8/25/2025
MtHoreb,1,8/25/2025
Sun P East ,2,8/26/2025
Sun P East ,2,8/26/2025
Oregon,1,8/26/2025
Lodi,1,8/26/2025
Middleton,1,8/26/2025
Milton,2,8/26/2025
Milton,2,8/26/2025
Reedsburg,2,8/26/2025
Reedsburg,2,8/26/2025
Stoughton,2,8/26/2025
Stoughton,2,8/26/2025
Monona Grove,2,8/26/2025
Monona Grove,2,8/26/2025
Portage,2,8/26/2025
Portage,2,8/26/2025
Waunakee,2,8/26/2025
Waunakee,2,8/26/2025
MtHoreb,1,8/26/2025
Oregon,1,8/27/2025
Milton,2,8/27/2025
Milton,2,8/27/2025
Reedsburg,2,8/27/2025
Reedsburg,2,8/27/2025
Sun P West,1,8/27/2025
MtHoreb,1,8/27/2025
Oregon,1,8/28/2025
Milton,2,8/28/2025
Milton,2,8/28/2025
Reedsburg,2,8/28/2025
Reedsburg,2,8/28/2025
Sun P East ,2,9/2/2025
Sun P East ,2,9/2/2025
Oregon,1,9/2/2025
Verona,2,9/2/2025
Verona,2,9/2/2025
Lodi,1,9/2/2025
Middleton,1,9/2/2025
Milton,2,9/2/2025
Milton,2,9/2/2025
Stoughton,2,9/2/2025
Stoughton,2,9/2/2025
Monona Grove,2,9/2/2025
Monona Grove,2,9/2/2025
MtHoreb,1,9/2/2025
Oregon,1,9/3/2025
Milton,2,9/3/2025
Milton,2,9/3/2025
Reedsburg,2,9/3/2025
Reedsburg,2,9/3/2025
Sun P West,1,9/3/2025
MtHoreb,1,9/3/2025
Oregon,1,9/4/2025
Milton,2,9/4/2025
Milton,2,9/4/2025
Reedsburg,2,9/4/2025
Reedsburg,2,9/4/2025
Sun P East ,2,9/8/2025
Sun P East ,2,9/8/2025
Oregon,1,9/8/2025
Verona,2,9/8/2025
Verona,2,9/8/2025
Middleton,1,9/8/2025
Milton,2,9/8/2025
Milton,2,9/8/2025
Reedsburg,2,9/8/2025
Reedsburg,2,9/8/2025
Monona Grove,2,9/8/2025
Monona Grove,2,9/8/2025
Sun P West,1,9/8/2025
